event_id,day,driver,n_hours,baseline_mae,llm_context_mae,oracle_mae,random_mean_mae,llm_minus_baseline_mae,oracle_minus_baseline_mae,random_mean_minus_baseline_mae,random_single_path_mae_mean,random_single_path_mae_p05,random_single_path_mae_p50,random_single_path_mae_p95,p_random_single_beats_llm,max_abs_llm_forecast_shift,max_abs_oracle_forecast_shift,random_declared_mw,random_width_hours
T069,2025-03-06,unavail_tx_import_mw,24,10.688862870123643,10.361145183975506,10.635807446186595,10.279215762438477,-0.32771768614813723,-0.05305542393704776,-0.4096471076851653,10.279215762438474,10.279215762438474,10.279215762438474,10.279215762438474,1.0,1.42880860241317,0.23599387308187048,1000.0,24
G079,2025-05-15,avail_gen_mw,24,14.900094991858097,14.640570522889922,14.975881990674837,14.609766881735355,-0.25952446896817527,0.07578699881674034,-0.29032811012274173,14.609766881735377,14.609766881735382,14.609766881735382,14.609766881735382,1.0,1.0854415593097855,0.37438197645512616,1040.0,24
T069,2025-03-25,unavail_tx_import_mw,24,16.190601333846484,15.943750542480856,16.190601333846484,15.779183348237085,-0.2468507913656275,0.0,-0.4114179856093987,15.779183348237106,15.77918334823711,15.77918334823711,15.77918334823711,1.0,1.7622037251996119,3.552713678800501e-15,1000.0,24
T069,2025-03-24,unavail_tx_import_mw,24,33.71944192575237,33.49008623070748,33.71944192575237,33.4327473069463,-0.2293556950448874,0.0,-0.2866946188060737,33.43274730694627,33.43274730694626,33.43274730694626,33.43274730694626,1.0,1.6421945606944917,3.552713678800501e-15,1000.0,24
T069,2025-03-16,unavail_tx_import_mw,24,6.413979198231801,6.188708896653722,6.413979198231801,6.188708896653728,-0.22527030157807904,0.0,-0.22527030157807282,6.18870889665372,6.188708896653721,6.188708896653721,6.188708896653721,1.0,1.537722262582033,3.552713678800501e-15,1000.0,24
T069,2025-03-17,unavail_tx_import_mw,24,41.67190443998527,41.446702522434926,41.41162288782131,41.3598152820462,-0.22520191755034347,-0.2602815521639599,-0.3120891579390701,41.35981528204618,41.35981528204618,41.35981528204618,41.35981528204618,1.0,0.999359796495078,1.1302449193894404,1000.0,24
T069,2025-03-19,unavail_tx_import_mw,24,30.310454312209476,30.11073932809475,30.424909846831053,30.060810582066058,-0.19971498411472766,0.11445553462157676,-0.24964373014341845,30.06081058206605,30.060810582066058,30.060810582066058,30.060810582066058,1.0,1.233318438259765,0.9349961406432357,1000.0,24
G079,2025-05-13,avail_gen_mw,24,31.031777521322766,30.85411394261752,31.031777521322766,30.852871387422642,-0.1776635787052463,0.0,-0.17890613390012433,30.852871387422606,30.8528713874226,30.8528713874226,30.8528713874226,1.0,2.3921492430357887,0.0,1040.0,24
T069,2025-03-07,unavail_tx_import_mw,24,7.053432562406918,6.891400562014724,7.107655295791814,6.837396602929881,-0.16203200039219467,0.05422273338489614,-0.21603595947703713,6.837396602929881,6.837396602929879,6.837396602929879,6.837396602929879,1.0,1.0276941851985306,0.30360298713638656,1000.0,24
T069,2025-03-31,unavail_tx_import_mw,24,29.593374991581197,29.44425314733778,29.4067835795546,29.344838584508853,-0.14912184424341746,-0.18659141202659768,-0.24853640707234348,29.344838584508825,29.34483858450883,29.34483858450883,29.34483858450883,1.0,1.2619297512271999,1.060208764857208,1000.0,24
G090,2025-12-24,avail_gen_mw,24,10.133546540629027,10.000318840610129,10.132482909220338,10.08751331918759,-0.13322770001889772,-0.0010636314086891474,-0.04603322144143718,10.087513319187591,10.08751331918759,10.08751331918759,10.08751331918759,0.0,1.5232902420027798,1.2018693733894992,1040.0,24
T069,2025-03-09,unavail_tx_import_mw,24,14.856497860051656,14.77986271841749,14.85649786005166,14.77990524067348,-0.0766351416341653,3.552713678800501e-15,-0.07659261937817519,14.779905240673461,14.779905240673465,14.779905240673465,14.779905240673465,0.0,1.4929876279931378,7.105427357601002e-15,1000.0,24
G079,2025-05-12,avail_gen_mw,24,18.90270124836241,18.83167922726619,18.90270124836241,18.832035853224976,-0.07102202109621913,0.0,-0.07066539513743209,18.832035853224944,18.832035853224948,18.832035853224948,18.832035853224948,0.0,3.6861799046087356,1.4210854715202004e-14,1040.0,24
G079,2025-05-11,avail_gen_mw,24,23.92181622988114,23.85290936894462,23.92181622988114,23.853603435575565,-0.06890686093652221,0.0,-0.06821279430557681,23.853603435575597,23.853603435575597,23.853603435575597,23.853603435575597,0.0,2.42638699026071,7.105427357601002e-15,1040.0,24
T069,2025-03-28,unavail_tx_import_mw,24,5.041682431841699,4.983145657472904,5.08597498653397,4.956096854728688,-0.05853677436879501,0.044292554692271224,-0.08558557711301074,4.956096854728693,4.956096854728693,4.956096854728693,4.956096854728693,1.0,0.9204381216434534,0.4932215053957627,1000.0,24
T069,2025-03-05,unavail_tx_import_mw,24,9.15172429316756,9.126966540511766,9.15172429316756,9.120777102347835,-0.02475775265579294,0.0,-0.030947190819723858,9.120777102347816,9.120777102347816,9.120777102347816,9.120777102347816,1.0,1.3509025859429258,1.7763568394002505e-15,1000.0,24
G060,2024-03-22,avail_gen_mw,24,22.31621385643972,22.295168842319686,24.221873558458004,21.19106798647512,-0.02104501412003401,1.9056597020182835,-1.1251458699646015,21.1910679864751,21.1910679864751,21.1910679864751,21.1910679864751,1.0,0.7282404178968349,9.630590394761775,1172.0,24
G085,2025-08-15,avail_gen_mw,24,7.328293014027946,7.321694646494503,7.338991603341239,7.32309216964376,-0.006598367533443117,0.010698589313292928,-0.005200844384185999,7.323092169643758,7.323092169643758,7.323092169643758,7.323092169643758,0.0,0.28870715481711073,0.11114703178638052,1121.0,24
G053,2023-10-19,avail_gen_mw,24,15.773624034108044,15.773624034108044,15.38053628750707,16.244838397298555,0.0,-0.39308774660097434,0.47121436319051035,16.244838397298537,16.244838397298533,16.244838397298533,16.244838397298533,0.0,0.0,16.338613821161303,1063.0,24
G053,2023-10-20,avail_gen_mw,24,10.464754129576635,10.464754129576635,9.401863167999041,9.357798535810392,0.0,-1.0628909615775939,-1.1069555937662425,9.357798535810375,9.357798535810376,9.357798535810376,9.357798535810376,1.0,0.0,12.681120289958685,1063.0,24
