created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start,source
2025-10-07 04:25:49+00:00,230,SE_3,Planned maintenance,A03,,2023-12-20 16:00:00+01:00,UjmWcnSDWOJqecpZfmHhbQ,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,301,MAW,PT1M,2,2023-12-20 14:00:00+01:00,A77
2025-10-07 04:25:49+00:00,0,SE_3,Planned maintenance,A03,,2023-12-20 14:00:00+01:00,UjmWcnSDWOJqecpZfmHhbQ,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,1,MAW,PT1M,2,2023-12-20 09:00:00+01:00,A77
2025-10-07 04:53:03+00:00,740,SE_3,Planned maintenance,A03,Cancelled,2024-01-20 13:00:00+01:00,1DF1Pyl3wCHLUtoLf4LVfA,1121.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,2,2024-01-20 08:00:00+01:00,A77
2025-10-07 04:53:41+00:00,80,SE_3,Unplanned outage,A03,,2024-01-04 16:00:00+01:00,_z0X6uvE8uhmhuYTDTeRsg,260.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,,1,MAW,PT1M,3,2024-01-03 15:08:00+01:00,A77
2025-10-07 04:56:55+00:00,0,SE_3,Planned maintenance,A03,,2024-01-04 18:44:00+01:00,F897xTM9JO4_mKuqgpjLwg,531.0,Nuclear,46WPU00000000121,SE3,Ringhals 3,Ringhals block 3 G32,1,MAW,PT1M,4,2024-01-04 05:00:00+01:00,A80
2025-10-07 04:57:14+00:00,0,SE_3,Unplanned outage,A03,,2024-01-05 01:03:00+01:00,X4bTBAxWHDSy_102rwjgIg,100.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G1,1,MAW,PT1M,2,2024-01-04 23:55:00+01:00,A80
2025-10-07 05:22:23+00:00,0,SE_3,Unplanned outage,A03,,2024-01-17 08:00:00+01:00,HlV82ODyS4Mwuw1PyM5UVQ,100.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G2,1,MAW,PT1M,1,2024-01-17 06:03:00+01:00,A80
2025-10-07 05:23:22+00:00,650,SE_3,Planned maintenance,A03,Cancelled,2024-02-17 17:00:00+01:00,mGTPKBaraKOCdikJmQtBpw,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,2,2024-02-17 08:00:00+01:00,A80
2025-10-07 05:34:31+00:00,630,SE_3,Unplanned outage,A03,,2024-01-23 09:30:00+01:00,Rt44xyYfK-pDTQYnxjceew,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,2,2024-01-19 08:00:00+01:00,A80
2025-10-07 05:51:12+00:00,0,SE_3,Planned maintenance,A03,,2024-02-01 16:00:00+01:00,AtpJgc6X1snN-GOm45P6Rg,260.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,,1,MAW,PT1M,1,2024-02-01 07:00:00+01:00,A77
